name,market,volume,close
Bitcoin,327000000000.0,28689361.913706645,112136.01000770096
ERC20,1025825758.0,54881.575596816976,126301.51193633952
MagicCoin,838820591.0,37470.0838150289,122709.95953757226
Auroracoin,657032087.0,44299.37766263673,168664.4242947611
DNotes,396805408.0,41314.55622009569,18320.977272727272
ATMChain,332881054.0,284440.5924170616,8035.258293838862
Starbase,315607500.0,9100.304347826086,38776.6856187291
UNIVERSAL CASH,305375899.0,89111.58163265306,7610.928571428572
PayPie,297593175.0,163880.0458937198,234735.5966183575
MCAP,279298654.0,406791.48633879784,134641.0
