Date,ARIMA_Forecast,Linear_forecast,Ensemble_forecast,Current_Price
2018-11-30,434850.0377038485,383435.7885057472,409142.91310479783,427885.0
2018-12-01,434850.03770375974,372812.7533555804,403831.39552967006,427885.0
2018-12-02,434850.03770384216,362189.71820541355,398519.87795462785,427885.0
2018-12-03,434850.0377037657,351566.6830552467,393208.3603795062,427885.0
2018-12-04,434850.0377038367,340943.6479050799,387896.8428044583,427885.0
2018-12-05,434850.0377037708,330320.612754913,382585.32522934186,427885.0
2018-12-06,434850.037703832,319697.57760474615,377273.80765428906,427885.0
2018-12-07,434850.03770377516,309074.5424545793,371962.29007917724,427885.0
2018-12-08,434850.03770382784,298451.50730441243,366650.77250412013,427885.0
2018-12-09,434850.03770377894,287828.4721542456,361339.25492901227,427885.0
2018-12-10,434850.03770382435,277205.43700407876,356027.73735395155,427885.0
2018-12-11,434850.0377037822,266582.4018539119,350716.21977884707,427885.0
2018-12-12,434850.0377038213,255959.3667037451,345404.7022037832,427885.0
2018-12-13,434850.037703785,245336.3315535782,340093.1846286816,427885.0
2018-12-14,434850.0377038187,234713.29640341137,334781.66705361503,427885.0
2018-12-15,434850.03770378744,224090.26125324453,329470.14947851596,427885.0
2018-12-16,434850.0377038165,213467.22610307764,324158.6319034471,427885.0
2018-12-17,434850.03770378954,202844.1909529108,318847.1143283502,427885.0
2018-12-18,434850.03770381457,192221.15580274398,313535.5967532793,427885.0
2018-12-19,434850.03770379134,181598.12065257714,308224.07917818427,427885.0
2018-12-20,434850.0377038129,170975.0855024103,302912.56160311156,427885.0
2018-12-21,434850.03770379286,160352.05035224347,297601.04402801814,427885.0
2018-12-22,434850.0377038114,149729.01520207664,292289.52645294403,427885.0
2018-12-23,434850.0377037942,139105.9800519097,286978.00887785194,427885.0
2018-12-24,434850.0377038102,128482.94490174286,281666.4913027765,427885.0
2018-12-25,434850.03770379536,117859.90975157602,276354.9737276857,427885.0
2018-12-26,434850.03770380915,107236.87460140919,271043.4561526092,427885.0
2018-12-27,434850.03770379635,96613.83945124235,265731.9385775194,427885.0
2018-12-28,434850.0377038082,85990.80430107552,260420.42100244187,427885.0
2018-12-29,434850.0377037972,75367.76915090869,255108.90342735295,427885.0
